# TITLE: co2 - continuous time series from low and mid cost sensors
# FILE NAME: example_site.csv
# DATA FORMAT: see the last line of this header for column description
# TOTAL LINES: 222
# HEADER LINES: 39
# PROJECT: ICOS CITIES
# DATA VERSION: L2
# STATION CODE: SMAI
# STATION NAME: Mittelschule Maisach (SMAI)
# OBSERVATION CATEGORY: Air sampling observation at a stationary platform
# COUNTRY/TERRITORY: DE
# RESPONSIBLE INSTITUTE: TUM, Technial University Munich
# CONTRIBUTOR:  Patrick Aigner, Klaus Kürzinger, Jia Chen
# CONTACT POINT: Patrick Aigner <patrick.aigner@tum.de>, Jia Chen <jia.chen@tum.de>
# FUNDING: European Union's Horizon 2020 Research and Innovation Programme, Grant Agreement No. 101037319
# LATITUDE: 12.345678
# LONGITUDE: 12.345679
# ALTITUDE: 523.1 m asl
# SAMPLING HEIGHTS: 24.2 m agl
# PARAMETER: co2
# COVERING PERIOD: 2024-07-09 09:30:00 - 2024-07-16 23:30:00
# TIME INTERVAL: hourly
# MEASUREMENT UNIT: µmol/mol
# MEASUREMENT METHOD: NDIR
# INSTRUMENT: Vaisala GMP343
# SAMPLING TYPE: continuous
# TIME ZONE: Central European Time (UTC+1), Central European Summer Time (UTC+2)
# MEASUREMENT SCALE: WMO-CO2-X2019
# DATA POLICY: ICOS CITIES DATA is licensed under a Creative Commons Attribution 4.0 international licence (http://creativecommons.org/licenses/by/4.0/.The ICOS CITIES data licence is described at https://data.icos-cities.eu/licence.
# COMMENT:
#
#   - Times are UTC+0
#   - Time-averaged values are reported at the middle of the averaging interval.
#   - Flag 'O' = data correct after manual quality control
#   - Flag 'K' = data incorrect after manual quality control
#   - In case of gaps between instruments, the timeseries are filled with empty string
#   - Release notes: 
#
#Datetime;Year;Month;Day;Hour;Minute;Second;DecimalDate;co2;NbPoints;Stdev;Flag;OriginalFlag
2024-07-09 09:30:00;2024;7;9;9;30;0;2024.521632;428.77283;21;4.72196;K;389
2024-07-09 10:30:00;2024;7;9;10;30;0;2024.521747;429.62943;24;3.732837;K;389
2024-07-09 11:30:00;2024;7;9;11;30;0;2024.521861;418.88895;44;1.4157532;O;0
2024-07-09 12:30:00;2024;7;9;12;30;0;2024.521975;421.38858;60;0.93191344;O;0
2024-07-09 13:30:00;2024;7;9;13;30;0;2024.522089;419.03894;60;1.5717849;O;0
2024-07-09 14:30:00;2024;7;9;14;30;0;2024.522203;416.31976;60;1.4812113;O;0
2024-07-09 15:30:00;2024;7;9;15;30;0;2024.522317;414.62616;60;1.7519014;O;0
2024-07-09 16:30:00;2024;7;9;16;30;0;2024.522432;415.3576;60;1.8576484;O;0
2024-07-09 17:30:00;2024;7;9;17;30;0;2024.522546;420.66202;60;3.2839842;O;0
2024-07-09 18:30:00;2024;7;9;18;30;0;2024.52266;429.09842;60;3.3669848;O;0
2024-07-09 19:30:00;2024;7;9;19;30;0;2024.522774;435.10428;58;3.8821697;O;0
2024-07-09 20:30:00;2024;7;9;20;30;0;2024.522888;434.2508;60;3.7360978;O;0
2024-07-09 21:30:00;2024;7;9;21;30;0;2024.523002;440.24448;60;7.26363;O;0
2024-07-09 22:30:00;2024;7;9;22;30;0;2024.523116;475.6712;57;12.803844;O;0
2024-07-09 23:30:00;2024;7;9;23;30;0;2024.523231;485.65216;58;7.6131372;O;0
2024-07-10 00:30:00;2024;7;10;0;30;0;2024.523345;483.1815;60;9.913765;O;0
2024-07-10 01:30:00;2024;7;10;1;30;0;2024.523459;483.09628;60;8.377577;O;0
2024-07-10 02:30:00;2024;7;10;2;30;0;2024.523573;482.30826;60;7.5038514;O;0
2024-07-10 03:30:00;2024;7;10;3;30;0;2024.523687;476.46085;60;2.3821023;O;0
2024-07-10 04:30:00;2024;7;10;4;30;0;2024.523801;472.60797;60;2.421583;O;0
2024-07-10 05:30:00;2024;7;10;5;30;0;2024.523916;472.38177;60;5.3018093;O;0
2024-07-10 06:30:00;2024;7;10;6;30;0;2024.52403;450.81033;59;6.909709;O;0
2024-07-10 07:30:00;2024;7;10;7;30;0;2024.524144;448.89594;58;2.5550072;O;0
2024-07-10 08:30:00;2024;7;10;8;30;0;2024.524258;449.28998;60;1.6896882;O;0
2024-07-10 09:30:00;2024;7;10;9;30;0;2024.524372;439.67004;60;4.536303;O;0
2024-07-10 10:30:00;2024;7;10;10;30;0;2024.524486;436.24054;58;5.212761;O;0
2024-07-10 11:30:00;2024;7;10;11;30;0;2024.5246;435.98068;58;7.4874296;O;0
2024-07-10 12:30:00;2024;7;10;12;30;0;2024.524715;428.7322;60;4.6083574;O;0
2024-07-10 13:30:00;2024;7;10;13;30;0;2024.524829;431.77924;53;4.410378;O;0
2024-07-10 14:30:00;2024;7;10;14;30;0;2024.524943;430.60593;60;3.7905228;O;0
2024-07-10 15:30:00;2024;7;10;15;30;0;2024.525057;438.4402;58;4.1917286;O;0
2024-07-10 16:30:00;2024;7;10;16;30;0;2024.525171;436.00552;60;3.5031831;O;0
2024-07-10 17:30:00;2024;7;10;17;30;0;2024.525285;433.5137;60;1.4777354;O;0
2024-07-10 18:30:00;2024;7;10;18;30;0;2024.5254;431.5844;60;1.8720143;O;0
2024-07-10 19:30:00;2024;7;10;19;30;0;2024.525514;432.26285;60;1.838851;O;0
2024-07-10 20:30:00;2024;7;10;20;30;0;2024.525628;440.1215;60;3.7783427;O;0
2024-07-10 21:30:00;2024;7;10;21;30;0;2024.525742;456.11636;60;4.470464;O;0
2024-07-10 22:30:00;2024;7;10;22;30;0;2024.525856;457.6864;60;2.3470566;O;0
2024-07-10 23:30:00;2024;7;10;23;30;0;2024.52597;469.09445;60;2.5717337;O;0
2024-07-11 00:30:00;2024;7;11;0;30;0;2024.526084;463.3467;60;5.8175387;O;0
2024-07-11 01:30:00;2024;7;11;1;30;0;2024.526199;475.1375;60;9.988671;O;0
